genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858205,35.519519
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.849816,35.589883
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843578,35.521451
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843327,35.521826
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.807562,35.562602
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80226,35.606997
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793422,35.577568
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793107,35.545939
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.77933,35.583843
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.774374,35.471427
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.760411,35.511271
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.759149,35.639377
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.757666,35.641213
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.753714,35.523673
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752142,35.563493
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748529,35.635564
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.499051,35.701979
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495438,35.634938
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48551,35.64523
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477093,35.641194
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.470044,35.681937
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.468733,35.682063
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.459987,35.674986
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451751,35.697896
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418212,35.685027
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.415206,35.738449
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.400911,35.74473
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.400407,35.743036
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.399677,35.697332
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.399358,35.729807
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.397705,35.724098
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.384109,35.717418
Carex_laxiflora_v_laxiflora,Carex  laxiflora v. laxiflora,7042,Broad Loose-flower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.053182,35.646746
